app_name,report_type,structure_total,structure_hit,structure_rate,evidence_total,evidence_hit,evidence_rate,report_path
MOMO陌陌,隐私政策-权限,5,5,1.0,57,57,1.0,D:\桌面\毕设\code\output\MOMO陌陌\隐私政策和权限分析结果.md
Muse AI,隐私政策-权限,5,5,1.0,47,47,1.0,D:\桌面\毕设\code\output\Muse AI\隐私政策和权限分析结果.md
photo抠图P图,隐私政策-权限,5,5,1.0,36,36,1.0,D:\桌面\毕设\code\output\photo抠图P图\隐私政策和权限分析结果.md
PS修图软件,隐私政策-权限,5,5,1.0,33,33,1.0,D:\桌面\毕设\code\output\PS修图软件\隐私政策和权限分析结果.md
QPython,隐私政策-权限,5,5,1.0,42,42,1.0,D:\桌面\毕设\code\output\QPython\隐私政策和权限分析结果.md
QQ浏览器,隐私政策-权限,5,5,1.0,136,136,1.0,D:\桌面\毕设\code\output\QQ浏览器\隐私政策和权限分析结果.md
Quin,隐私政策-权限,5,5,1.0,17,17,1.0,D:\桌面\毕设\code\output\Quin\隐私政策和权限分析结果.md
SKYDOOR,隐私政策-权限,5,5,1.0,39,39,1.0,D:\桌面\毕设\code\output\SKYDOOR\隐私政策和权限分析结果.md
Soul,隐私政策-权限,5,5,1.0,86,86,1.0,D:\桌面\毕设\code\output\Soul\隐私政策和权限分析结果.md
vita+,隐私政策-权限,5,5,1.0,20,20,1.0,D:\桌面\毕设\code\output\vita+\隐私政策和权限分析结果.md
V策,隐私政策-权限,5,5,1.0,54,54,1.0,D:\桌面\毕设\code\output\V策\隐私政策和权限分析结果.md
Wearfit Pro,隐私政策-权限,5,5,1.0,84,84,1.0,D:\桌面\毕设\code\output\Wearfit Pro\隐私政策和权限分析结果.md
Zigma,隐私政策-权限,5,5,1.0,30,30,1.0,D:\桌面\毕设\code\output\Zigma\隐私政策和权限分析结果.md
七天学堂,隐私政策-权限,5,5,1.0,41,41,1.0,D:\桌面\毕设\code\output\七天学堂\隐私政策和权限分析结果.md
上海杨浦,隐私政策-权限,5,5,1.0,42,42,1.0,D:\桌面\毕设\code\output\上海杨浦\隐私政策和权限分析结果.md
中国工商银行,隐私政策-权限,5,5,1.0,75,75,1.0,D:\桌面\毕设\code\output\中国工商银行\隐私政策和权限分析结果.md
中安车服企业,隐私政策-权限,5,5,1.0,53,53,1.0,D:\桌面\毕设\code\output\中安车服企业\隐私政策和权限分析结果.md
乐活元,隐私政策-权限,5,5,1.0,17,17,1.0,D:\桌面\毕设\code\output\乐活元\隐私政策和权限分析结果.md
京修,隐私政策-权限,5,5,1.0,37,37,1.0,D:\桌面\毕设\code\output\京修\隐私政策和权限分析结果.md
什么值得买,隐私政策-权限,5,5,1.0,44,44,1.0,D:\桌面\毕设\code\output\什么值得买\隐私政策和权限分析结果.md
今日顺庆,隐私政策-权限,5,5,1.0,29,29,1.0,D:\桌面\毕设\code\output\今日顺庆\隐私政策和权限分析结果.md
优咖初中数学,隐私政策-权限,5,5,1.0,7,7,1.0,D:\桌面\毕设\code\output\优咖初中数学\隐私政策和权限分析结果.md
作业帮,隐私政策-权限,5,5,1.0,58,58,1.0,D:\桌面\毕设\code\output\作业帮\隐私政策和权限分析结果.md
保险师,隐私政策-权限,5,5,1.0,54,54,1.0,D:\桌面\毕设\code\output\保险师\隐私政策和权限分析结果.md
健管助手,隐私政策-权限,5,5,1.0,72,72,1.0,D:\桌面\毕设\code\output\健管助手\隐私政策和权限分析结果.md
像素芝士,隐私政策-权限,5,5,1.0,28,28,1.0,D:\桌面\毕设\code\output\像素芝士\隐私政策和权限分析结果.md
全民生活,隐私政策-权限,5,5,1.0,85,85,1.0,D:\桌面\毕设\code\output\全民生活\隐私政策和权限分析结果.md
全球学术快报,隐私政策-权限,5,5,1.0,38,38,1.0,D:\桌面\毕设\code\output\全球学术快报\隐私政策和权限分析结果.md
出口成章,隐私政策-权限,5,5,1.0,64,64,1.0,D:\桌面\毕设\code\output\出口成章\隐私政策和权限分析结果.md
创客贴设计,隐私政策-权限,5,5,1.0,44,44,1.0,D:\桌面\毕设\code\output\创客贴设计\隐私政策和权限分析结果.md
医路成长,隐私政策-权限,5,5,1.0,32,32,1.0,D:\桌面\毕设\code\output\医路成长\隐私政策和权限分析结果.md
口信,隐私政策-权限,5,5,1.0,40,40,1.0,D:\桌面\毕设\code\output\口信\隐私政策和权限分析结果.md
句子控,隐私政策-权限,5,5,1.0,40,40,1.0,D:\桌面\毕设\code\output\句子控\隐私政策和权限分析结果.md
可可英语,隐私政策-权限,5,5,1.0,27,27,1.0,D:\桌面\毕设\code\output\可可英语\隐私政策和权限分析结果.md
可颂,隐私政策-权限,5,5,1.0,65,65,1.0,D:\桌面\毕设\code\output\可颂\隐私政策和权限分析结果.md
名人朋友圈,隐私政策-权限,5,5,1.0,65,65,1.0,D:\桌面\毕设\code\output\名人朋友圈\隐私政策和权限分析结果.md
咕咚,隐私政策-权限,5,5,1.0,70,70,1.0,D:\桌面\毕设\code\output\咕咚\隐私政策和权限分析结果.md
咪咕阅读,隐私政策-权限,5,5,1.0,50,50,1.0,D:\桌面\毕设\code\output\咪咕阅读\隐私政策和权限分析结果.md
喵抠,隐私政策-权限,5,5,1.0,20,20,1.0,D:\桌面\毕设\code\output\喵抠\隐私政策和权限分析结果.md
国都畅赢,隐私政策-权限,5,5,1.0,34,34,1.0,D:\桌面\毕设\code\output\国都畅赢\隐私政策和权限分析结果.md
图趣AI,隐私政策-权限,5,5,1.0,34,34,1.0,D:\桌面\毕设\code\output\图趣AI\隐私政策和权限分析结果.md
墨鱼旅行,隐私政策-权限,5,5,1.0,54,54,1.0,D:\桌面\毕设\code\output\墨鱼旅行\隐私政策和权限分析结果.md
多闪,隐私政策-权限,5,5,1.0,257,257,1.0,D:\桌面\毕设\code\output\多闪\隐私政策和权限分析结果.md
天天跳绳,隐私政策-权限,5,5,1.0,55,55,1.0,D:\桌面\毕设\code\output\天天跳绳\隐私政策和权限分析结果.md
夸克,隐私政策-权限,5,5,1.0,61,61,1.0,D:\桌面\毕设\code\output\夸克\隐私政策和权限分析结果.md
奇富周转灵,隐私政策-权限,5,5,1.0,51,51,1.0,D:\桌面\毕设\code\output\奇富周转灵\隐私政策和权限分析结果.md
安兔兔AI评测,隐私政策-权限,5,5,1.0,28,28,1.0,D:\桌面\毕设\code\output\安兔兔AI评测\隐私政策和权限分析结果.md
小me来,隐私政策-权限,5,5,1.0,21,21,1.0,D:\桌面\毕设\code\output\小me来\隐私政策和权限分析结果.md
小元音乐圈,隐私政策-权限,5,5,1.0,50,50,1.0,D:\桌面\毕设\code\output\小元音乐圈\隐私政策和权限分析结果.md
小卡健康,隐私政策-权限,5,5,1.0,313,313,1.0,D:\桌面\毕设\code\output\小卡健康\隐私政策和权限分析结果.md
小影,隐私政策-权限,5,5,1.0,46,46,1.0,D:\桌面\毕设\code\output\小影\隐私政策和权限分析结果.md
小星星AI陪练,隐私政策-权限,5,5,1.0,40,40,1.0,D:\桌面\毕设\code\output\小星星AI陪练\隐私政策和权限分析结果.md
小星记账,隐私政策-权限,5,5,1.0,21,21,1.0,D:\桌面\毕设\code\output\小星记账\隐私政策和权限分析结果.md
小智日历,隐私政策-权限,5,5,1.0,39,39,1.0,D:\桌面\毕设\code\output\小智日历\隐私政策和权限分析结果.md
小猿AI,隐私政策-权限,5,5,1.0,38,38,1.0,D:\桌面\毕设\code\output\小猿AI\隐私政策和权限分析结果.md
就业星,隐私政策-权限,5,5,1.0,20,20,1.0,D:\桌面\毕设\code\output\就业星\隐私政策和权限分析结果.md
干词,隐私政策-权限,5,5,1.0,25,25,1.0,D:\桌面\毕设\code\output\干词\隐私政策和权限分析结果.md
广发期货小添财,隐私政策-权限,5,5,1.0,58,58,1.0,D:\桌面\毕设\code\output\广发期货小添财\隐私政策和权限分析结果.md
广发银行,隐私政策-权限,5,5,1.0,76,76,1.0,D:\桌面\毕设\code\output\广发银行\隐私政策和权限分析结果.md
店长直聘,隐私政策-权限,5,5,1.0,67,67,1.0,D:\桌面\毕设\code\output\店长直聘\隐私政策和权限分析结果.md
庞伯特网球,隐私政策-权限,5,5,1.0,20,20,1.0,D:\桌面\毕设\code\output\庞伯特网球\隐私政策和权限分析结果.md
度加剪辑,隐私政策-权限,5,5,1.0,33,33,1.0,D:\桌面\毕设\code\output\度加剪辑\隐私政策和权限分析结果.md
微美相机,隐私政策-权限,5,5,1.0,43,43,1.0,D:\桌面\毕设\code\output\微美相机\隐私政策和权限分析结果.md
心之易,隐私政策-权限,5,5,1.0,29,29,1.0,D:\桌面\毕设\code\output\心之易\隐私政策和权限分析结果.md
快剪辑,隐私政策-权限,5,5,1.0,54,54,1.0,D:\桌面\毕设\code\output\快剪辑\隐私政策和权限分析结果.md
快对AI,隐私政策-权限,5,5,1.0,42,42,1.0,D:\桌面\毕设\code\output\快对AI\隐私政策和权限分析结果.md
快影,隐私政策-权限,5,5,1.0,68,68,1.0,D:\桌面\毕设\code\output\快影\隐私政策和权限分析结果.md
恒悦动校园版,隐私政策-权限,5,5,1.0,18,18,1.0,D:\桌面\毕设\code\output\恒悦动校园版\隐私政策和权限分析结果.md
房天下,隐私政策-权限,5,5,1.0,39,39,1.0,D:\桌面\毕设\code\output\房天下\隐私政策和权限分析结果.md
扁鹊三号,隐私政策-权限,5,5,1.0,39,39,1.0,D:\桌面\毕设\code\output\扁鹊三号\隐私政策和权限分析结果.md
扇贝单词,隐私政策-权限,5,5,1.0,23,23,1.0,D:\桌面\毕设\code\output\扇贝单词\隐私政策和权限分析结果.md
扫描全能王,隐私政策-权限,5,5,1.0,41,41,1.0,D:\桌面\毕设\code\output\扫描全能王\隐私政策和权限分析结果.md
投篮大师,隐私政策-权限,5,5,1.0,29,29,1.0,D:\桌面\毕设\code\output\投篮大师\隐私政策和权限分析结果.md
抠图P图大师,隐私政策-权限,5,5,1.0,20,20,1.0,D:\桌面\毕设\code\output\抠图P图大师\隐私政策和权限分析结果.md
拉卡拉,隐私政策-权限,5,5,1.0,63,63,1.0,D:\桌面\毕设\code\output\拉卡拉\隐私政策和权限分析结果.md
招商银行,隐私政策-权限,5,5,1.0,90,90,1.0,D:\桌面\毕设\code\output\招商银行\隐私政策和权限分析结果.md
指南AI,隐私政策-权限,5,5,1.0,18,18,1.0,D:\桌面\毕设\code\output\指南AI\隐私政策和权限分析结果.md
挖财记账,隐私政策-权限,5,5,1.0,31,31,1.0,D:\桌面\毕设\code\output\挖财记账\隐私政策和权限分析结果.md
掌上3D艺术,隐私政策-权限,5,5,1.0,11,11,1.0,D:\桌面\毕设\code\output\掌上3D艺术\隐私政策和权限分析结果.md
掌阅,隐私政策-权限,5,5,1.0,52,52,1.0,D:\桌面\毕设\code\output\掌阅\隐私政策和权限分析结果.md
接接,隐私政策-权限,5,5,1.0,52,52,1.0,D:\桌面\毕设\code\output\接接\隐私政策和权限分析结果.md
搜狐资讯,隐私政策-权限,5,5,1.0,65,65,1.0,D:\桌面\毕设\code\output\搜狐资讯\隐私政策和权限分析结果.md
搭搭,隐私政策-权限,5,5,1.0,36,36,1.0,D:\桌面\毕设\code\output\搭搭\隐私政策和权限分析结果.md
数感星球,隐私政策-权限,5,5,1.0,30,30,1.0,D:\桌面\毕设\code\output\数感星球\隐私政策和权限分析结果.md
斑马AI学,隐私政策-权限,5,5,1.0,49,49,1.0,D:\桌面\毕设\code\output\斑马AI学\隐私政策和权限分析结果.md
旅尤圈,隐私政策-权限,5,5,1.0,17,17,1.0,D:\桌面\毕设\code\output\旅尤圈\隐私政策和权限分析结果.md
无界AI,隐私政策-权限,5,5,1.0,38,38,1.0,D:\桌面\毕设\code\output\无界AI\隐私政策和权限分析结果.md
时光分期,隐私政策-权限,5,5,1.0,26,26,1.0,D:\桌面\毕设\code\output\时光分期\隐私政策和权限分析结果.md
易拓客,隐私政策-权限,5,5,1.0,49,49,1.0,D:\桌面\毕设\code\output\易拓客\隐私政策和权限分析结果.md
星绘,隐私政策-权限,5,5,1.0,22,22,1.0,D:\桌面\毕设\code\output\星绘\隐私政策和权限分析结果.md
星麦云,隐私政策-权限,5,5,1.0,40,40,1.0,D:\桌面\毕设\code\output\星麦云\隐私政策和权限分析结果.md
映目云摄影,隐私政策-权限,5,5,1.0,41,41,1.0,D:\桌面\毕设\code\output\映目云摄影\隐私政策和权限分析结果.md
春秋旅游,隐私政策-权限,5,5,1.0,51,51,1.0,D:\桌面\毕设\code\output\春秋旅游\隐私政策和权限分析结果.md
智慧万载,隐私政策-权限,5,5,1.0,63,63,1.0,D:\桌面\毕设\code\output\智慧万载\隐私政策和权限分析结果.md
智能AI写作,隐私政策-权限,5,5,1.0,18,18,1.0,D:\桌面\毕设\code\output\智能AI写作\隐私政策和权限分析结果.md
智谱AI,隐私政策-权限,5,5,1.0,40,40,1.0,D:\桌面\毕设\code\output\智谱AI\隐私政策和权限分析结果.md
智谱清言,隐私政策-权限,5,5,1.0,46,46,1.0,D:\桌面\毕设\code\output\智谱清言\隐私政策和权限分析结果.md
暴走P图,隐私政策-权限,5,5,1.0,39,39,1.0,D:\桌面\毕设\code\output\暴走P图\隐私政策和权限分析结果.md
最最日语,隐私政策-权限,5,5,1.0,30,30,1.0,D:\桌面\毕设\code\output\最最日语\隐私政策和权限分析结果.md
最美映像证件照,隐私政策-权限,5,5,1.0,9,9,1.0,D:\桌面\毕设\code\output\最美映像证件照\隐私政策和权限分析结果.md
月亮弯弯,隐私政策-权限,5,5,1.0,41,41,1.0,D:\桌面\毕设\code\output\月亮弯弯\隐私政策和权限分析结果.md
月神星盘,隐私政策-权限,5,5,1.0,28,28,1.0,D:\桌面\毕设\code\output\月神星盘\隐私政策和权限分析结果.md
有道文档,隐私政策-权限,5,5,1.0,40,40,1.0,D:\桌面\毕设\code\output\有道文档\隐私政策和权限分析结果.md
朗读大师,隐私政策-权限,5,5,1.0,30,30,1.0,D:\桌面\毕设\code\output\朗读大师\隐私政策和权限分析结果.md
朗读超人,隐私政策-权限,5,5,1.0,13,13,1.0,D:\桌面\毕设\code\output\朗读超人\隐私政策和权限分析结果.md
木槿校园,隐私政策-权限,5,5,1.0,24,24,1.0,D:\桌面\毕设\code\output\木槿校园\隐私政策和权限分析结果.md
林间聊愈室,隐私政策-权限,5,5,1.0,33,33,1.0,D:\桌面\毕设\code\output\林间聊愈室\隐私政策和权限分析结果.md
柚子轻断食,隐私政策-权限,5,5,1.0,26,26,1.0,D:\桌面\毕设\code\output\柚子轻断食\隐私政策和权限分析结果.md
柚音,隐私政策-权限,5,5,1.0,39,39,1.0,D:\桌面\毕设\code\output\柚音\隐私政策和权限分析结果.md
欧拉AI学,隐私政策-权限,5,5,1.0,26,26,1.0,D:\桌面\毕设\code\output\欧拉AI学\隐私政策和权限分析结果.md
步步阅读,隐私政策-权限,5,5,1.0,33,33,1.0,D:\桌面\毕设\code\output\步步阅读\隐私政策和权限分析结果.md
每日英语听力,隐私政策-权限,5,5,1.0,40,40,1.0,D:\桌面\毕设\code\output\每日英语听力\隐私政策和权限分析结果.md
氢离子,隐私政策-权限,5,5,1.0,42,42,1.0,D:\桌面\毕设\code\output\氢离子\隐私政策和权限分析结果.md
汽修宝,隐私政策-权限,5,5,1.0,54,54,1.0,D:\桌面\毕设\code\output\汽修宝\隐私政策和权限分析结果.md
汽车之家,隐私政策-权限,5,5,1.0,112,112,1.0,D:\桌面\毕设\code\output\汽车之家\隐私政策和权限分析结果.md
洋葱学园,隐私政策-权限,5,5,1.0,55,55,1.0,D:\桌面\毕设\code\output\洋葱学园\隐私政策和权限分析结果.md
洪恩识字,隐私政策-权限,5,5,1.0,29,29,1.0,D:\桌面\毕设\code\output\洪恩识字\隐私政策和权限分析结果.md
流利说,隐私政策-权限,5,5,1.0,37,37,1.0,D:\桌面\毕设\code\output\流利说\隐私政策和权限分析结果.md
浦发银行,隐私政策-权限,5,5,1.0,87,87,1.0,D:\桌面\毕设\code\output\浦发银行\隐私政策和权限分析结果.md
滑呗,隐私政策-权限,5,5,1.0,72,72,1.0,D:\桌面\毕设\code\output\滑呗\隐私政策和权限分析结果.md
漫改相机,隐私政策-权限,5,5,1.0,35,35,1.0,D:\桌面\毕设\code\output\漫改相机\隐私政策和权限分析结果.md
漫画相机,隐私政策-权限,5,5,1.0,16,16,1.0,D:\桌面\毕设\code\output\漫画相机\隐私政策和权限分析结果.md
火龙果智能写作,隐私政策-权限,5,5,1.0,14,14,1.0,D:\桌面\毕设\code\output\火龙果智能写作\隐私政策和权限分析结果.md
熊猫医疗,隐私政策-权限,5,5,1.0,50,50,1.0,D:\桌面\毕设\code\output\熊猫医疗\隐私政策和权限分析结果.md
爱创助手,隐私政策-权限,5,5,1.0,27,27,1.0,D:\桌面\毕设\code\output\爱创助手\隐私政策和权限分析结果.md
狐说英语,隐私政策-权限,5,5,1.0,22,22,1.0,D:\桌面\毕设\code\output\狐说英语\隐私政策和权限分析结果.md
猫箱,隐私政策-权限,5,5,1.0,55,55,1.0,D:\桌面\毕设\code\output\猫箱\隐私政策和权限分析结果.md
玻尔,隐私政策-权限,5,5,1.0,22,22,1.0,D:\桌面\毕设\code\output\玻尔\隐私政策和权限分析结果.md
理想树,隐私政策-权限,5,5,1.0,62,62,1.0,D:\桌面\毕设\code\output\理想树\隐私政策和权限分析结果.md
百事AA记账,隐私政策-权限,5,5,1.0,73,73,1.0,D:\桌面\毕设\code\output\百事AA记账\隐私政策和权限分析结果.md
百味书香,隐私政策-权限,5,5,1.0,47,47,1.0,D:\桌面\毕设\code\output\百味书香\隐私政策和权限分析结果.md
百度,隐私政策-权限,5,5,1.0,94,94,1.0,D:\桌面\毕设\code\output\百度\隐私政策和权限分析结果.md
百度文库,隐私政策-权限,5,5,1.0,62,62,1.0,D:\桌面\毕设\code\output\百度文库\隐私政策和权限分析结果.md
秒剪,隐私政策-权限,5,5,1.0,17,17,1.0,D:\桌面\毕设\code\output\秒剪\隐私政策和权限分析结果.md
稿定设计,隐私政策-权限,5,5,1.0,51,51,1.0,D:\桌面\毕设\code\output\稿定设计\隐私政策和权限分析结果.md
筑梦AI,隐私政策-权限,5,5,1.0,27,27,1.0,D:\桌面\毕设\code\output\筑梦AI\隐私政策和权限分析结果.md
简单记账,隐私政策-权限,5,5,1.0,37,37,1.0,D:\桌面\毕设\code\output\简单记账\隐私政策和权限分析结果.md
米家,隐私政策-权限,5,5,1.0,108,108,1.0,D:\桌面\毕设\code\output\米家\隐私政策和权限分析结果.md
糖动,隐私政策-权限,5,5,1.0,49,49,1.0,D:\桌面\毕设\code\output\糖动\隐私政策和权限分析结果.md
红湘西,隐私政策-权限,5,5,1.0,38,38,1.0,D:\桌面\毕设\code\output\红湘西\隐私政策和权限分析结果.md
经济师快题库,隐私政策-权限,5,5,1.0,45,45,1.0,D:\桌面\毕设\code\output\经济师快题库\隐私政策和权限分析结果.md
缘际,隐私政策-权限,5,5,1.0,55,55,1.0,D:\桌面\毕设\code\output\缘际\隐私政策和权限分析结果.md
网易邮箱,隐私政策-权限,5,5,1.0,38,38,1.0,D:\桌面\毕设\code\output\网易邮箱\隐私政策和权限分析结果.md
美图秀秀,隐私政策-权限,5,5,1.0,63,63,1.0,D:\桌面\毕设\code\output\美图秀秀\隐私政策和权限分析结果.md
美图设计室,隐私政策-权限,5,5,1.0,46,46,1.0,D:\桌面\毕设\code\output\美图设计室\隐私政策和权限分析结果.md
美图证件照,隐私政策-权限,5,5,1.0,35,35,1.0,D:\桌面\毕设\code\output\美图证件照\隐私政策和权限分析结果.md
美景听听,隐私政策-权限,5,5,1.0,43,43,1.0,D:\桌面\毕设\code\output\美景听听\隐私政策和权限分析结果.md
美颜相机,隐私政策-权限,5,5,1.0,48,48,1.0,D:\桌面\毕设\code\output\美颜相机\隐私政策和权限分析结果.md
翼连,隐私政策-权限,5,5,1.0,61,61,1.0,D:\桌面\毕设\code\output\翼连\隐私政策和权限分析结果.md
腾讯体育,隐私政策-权限,5,5,1.0,55,55,1.0,D:\桌面\毕设\code\output\腾讯体育\隐私政策和权限分析结果.md
腾讯地图,隐私政策-权限,5,5,1.0,71,71,1.0,D:\桌面\毕设\code\output\腾讯地图\隐私政策和权限分析结果.md
艺品品,隐私政策-权限,5,5,1.0,42,42,1.0,D:\桌面\毕设\code\output\艺品品\隐私政策和权限分析结果.md
艺考志愿星,隐私政策-权限,5,5,1.0,23,23,1.0,D:\桌面\毕设\code\output\艺考志愿星\隐私政策和权限分析结果.md
英语趣配音,隐私政策-权限,5,5,1.0,62,62,1.0,D:\桌面\毕设\code\output\英语趣配音\隐私政策和权限分析结果.md
萌萌答,隐私政策-权限,5,5,1.0,43,43,1.0,D:\桌面\毕设\code\output\萌萌答\隐私政策和权限分析结果.md
萌配音,隐私政策-权限,5,5,1.0,37,37,1.0,D:\桌面\毕设\code\output\萌配音\隐私政策和权限分析结果.md
萝卜投研,隐私政策-权限,5,5,1.0,56,56,1.0,D:\桌面\毕设\code\output\萝卜投研\隐私政策和权限分析结果.md
蓝识,隐私政策-权限,5,5,1.0,43,43,1.0,D:\桌面\毕设\code\output\蓝识\隐私政策和权限分析结果.md
虎课,隐私政策-权限,5,5,1.0,39,39,1.0,D:\桌面\毕设\code\output\虎课\隐私政策和权限分析结果.md
蛋啵,隐私政策-权限,5,5,1.0,42,42,1.0,D:\桌面\毕设\code\output\蛋啵\隐私政策和权限分析结果.md
觅遇公园,隐私政策-权限,5,5,1.0,64,64,1.0,D:\桌面\毕设\code\output\觅遇公园\隐私政策和权限分析结果.md
视频抠像,隐私政策-权限,5,5,1.0,24,24,1.0,D:\桌面\毕设\code\output\视频抠像\隐私政策和权限分析结果.md
讯飞听见,隐私政策-权限,5,5,1.0,43,43,1.0,D:\桌面\毕设\code\output\讯飞听见\隐私政策和权限分析结果.md
讯飞星火,隐私政策-权限,5,5,1.0,49,49,1.0,D:\桌面\毕设\code\output\讯飞星火\隐私政策和权限分析结果.md
讯飞输入法,隐私政策-权限,5,5,1.0,39,39,1.0,D:\桌面\毕设\code\output\讯飞输入法\隐私政策和权限分析结果.md
记账小本,隐私政策-权限,5,5,1.0,54,54,1.0,D:\桌面\毕设\code\output\记账小本\隐私政策和权限分析结果.md
话本小说,隐私政策-权限,5,5,1.0,60,60,1.0,D:\桌面\毕设\code\output\话本小说\隐私政策和权限分析结果.md
话袋,隐私政策-权限,5,5,1.0,50,50,1.0,D:\桌面\毕设\code\output\话袋\隐私政策和权限分析结果.md
